uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Prosser1948,"Prosser, Geoff",LIBERAL,196,25,1998,2007,12.755102040816327
StClair1949,"St Clair, Stuart",NATIONAL,241,25,1998,2001,10.37344398340249
Bell1968,"Bell, Angie",LNP,296,24,2019,2022,8.108108108108109
Wallace1968,"Wallace, Andrew",LNP,327,24,2019,2022,7.339449541284404
Symon1965,"Symon, Mike",ALP,367,23,2008,2013,6.267029972752043
ODowd1950,"O'Dowd, Ken",NATIONAL,468,23,2010,2018,4.914529914529915
Morris1932,"Morris, Peter",ALP,118,23,1998,1998,19.491525423728813
Ticehurst1945,"Ticehurst, Ken",LIBERAL,233,22,2002,2007,9.44206008583691
Mossfield1935,"Mossfield, Frank",ALP,405,22,1998,2004,5.432098765432099
Charles1936,"Charles, Bob",LIBERAL,350,22,1998,2004,6.285714285714286
Andrews1960,"Andrews, Karen",LNP,197,22,2020,2022,11.16751269035533
Wooldridge1956,"Wooldridge, Michael",LIBERAL,829,22,1998,2001,2.6537997587454765
Somlyay1946,"Somlyay, Alex",LIBERAL,284,21,1998,2013,7.394366197183099
Williams1973,"Williams, Matt",LIBERAL,259,21,2013,2016,8.108108108108109
Ferguson1974,"Ferguson, Michael",LIBERAL,193,20,2004,2007,10.362694300518134
Simmonds1985,"Simmonds, Julian",LNP,370,20,2019,2022,5.405405405405405
Matheson1958,"Matheson, Russell",LIBERAL,256,20,2010,2016,7.8125
Steggall1974,"Steggall, Zali",IND,322,20,2019,2022,6.211180124223603
Sharkie1972,"Sharkie, Rebekha",CA,673,20,2018,2022,2.971768202080238
Debus1943,"Debus, Bob",ALP,114,20,2008,2010,17.54385964912281
ONeill1961,"O'Neill, Deborah",ALP,332,20,2010,2013,6.024096385542169
Mirabella1968,"Panopoulos, Sophie",LIBERAL,186,19,2002,2006,10.21505376344086
Christensen1978,"Christensen, George",LNP,205,19,2019,2021,9.268292682926829
Miles1947,"Miles, Chris",LIBERAL,105,19,1998,1998,18.095238095238095
Hogan1963,"Hogan, Kevin",NATIONAL,624,19,2013,2022,3.0448717948717947
Elson1947,"Elson, Kay",LIBERAL,314,18,1998,2007,5.732484076433121
Conaghan1971,"Conaghan, Pat",NATIONAL,245,18,2019,2022,7.346938775510204
Alexander1951,"Alexander, John",LIBERAL,738,18,2010,2022,2.4390243902439024
Wicks1973,"Wicks, Lucy",LIBERAL,697,17,2013,2022,2.4390243902439024
Thwaites1980,"Thwaites, Kate",ALP,164,17,2019,2022,10.365853658536585
Neal1963,"Neal, Belinda",ALP,136,17,2008,2010,12.5
Templeman1963,"Templeman, Susan",ALP,549,17,2016,2022,3.096539162112933
Lawler1961,"Lawler, Tony",NATIONAL,158,17,1998,2001,10.759493670886076
Katter1945,"Katter, Bob (Jr)",NATIONAL,95,17,1998,2001,17.894736842105264
McBain1982,"McBain, Kristy",ALP,129,15,2020,2022,11.627906976744185
Hart1960,"Hart, Ross",ALP,184,15,2016,2019,8.152173913043478
Smith1950,"Smith, Tony (Anthony Charles)",IND,97,15,1998,1998,15.463917525773196
Leeser1976,"Leeser, Julian",LIBERAL,512,15,2016,2022,2.9296875
Buchholz1968,"Buchholz, Scott",LNP,126,15,2019,2022,11.904761904761905
vanManen1965,"van Manen, Bert",LNP,265,14,2019,2022,5.283018867924528
OToole1956,"O'Toole, Cathy",ALP,279,14,2016,2019,5.017921146953405
Nugent1938,"Nugent, Peter",LIBERAL,148,14,1998,2001,9.45945945945946
Wakelin1946,"Wakelin, Barry",LIBERAL,368,14,1998,2007,3.8043478260869565
Webster1959,"Webster, Anne",NATIONAL,272,14,2019,2022,5.147058823529412
Sullivan1942,"Sullivan, Kathy",LIBERAL,63,14,1998,2001,22.22222222222222
Andrew1944,"Andrew, Neil",LIBERAL,53,14,1998,2002,26.41509433962264
Sharkie1972,"Sharkie, Rebekha",NXT,185,13,2016,2017,7.027027027027027
Payne1982,"Payne, Alicia",ALP,154,13,2019,2022,8.441558441558442
Wells1985,"Wells, Anika",ALP,208,13,2019,2022,6.25
Rocher1936,"Rocher, Allan",IND,74,13,1998,1998,17.56756756756757
Thompson1988,"Thompson, Phillip",LIBERAL,86,13,2019,2022,15.116279069767442
Pitt1969,"Pitt, Keith",NATIONAL,360,13,2013,2018,3.611111111111111
Tollner1966,"Tollner, Dave",CLP,213,13,2003,2007,6.103286384976526
Cheeseman1976,"Cheeseman, Darren",ALP,320,13,2008,2013,4.0625
Laming1966,"Laming, Andrew",LNP,187,12,2019,2021,6.4171122994652405
Connelly1978,"Connelly, Vince",LIBERAL,189,12,2019,2022,6.349206349206349
EvansMartyn1953,"Evans, Martyn",ALP,158,12,1998,2004,7.594936708860759
OBrien1974,"O'Brien, Ted",LIBERAL,259,12,2016,2018,4.633204633204633
Moore1936,"Moore, John",LIBERAL,272,12,1998,2001,4.411764705882353
Gee1968,"Gee, Andrew",NATIONAL,436,11,2016,2022,2.522935779816514
Entsch1950,"Entsch, Warren",LNP,168,11,2019,2022,6.5476190476190474
Marek1964,"Marek, Paul",NATIONAL,53,11,1998,1998,20.754716981132077
Washer1945,"Washer, Mal",LIBERAL,282,11,1998,2013,3.900709219858156
Thomson1961,"Thomson, Andrew",LIBERAL,186,11,1998,2001,5.913978494623656
Jull1944,"Jull, David",LIBERAL,247,10,1998,2007,4.048582995951417
Corcoran1951,"Corcoran, Ann",ALP,165,10,2000,2007,6.0606060606060606
Smyth1976,"Smyth, Laura",ALP,216,10,2010,2013,4.62962962962963
Smith1954,"Smith, Warwick",LIBERAL,166,10,1998,1998,6.024096385542169
Lamb1972,"Lamb, Susan",ALP,162,10,2016,2019,6.172839506172839
Gillespie1957,"Gillespie, David",NATIONAL,544,9,2013,2022,1.6544117647058822
JonesBarry1932,"Jones, Barry",ALP,37,9,1998,1998,24.324324324324323
Pearce1967,"Pearce, Gavin",LIBERAL,183,9,2019,2022,4.918032786885246
Pitt1969,"Pitt, Keith",LNP,234,9,2019,2022,3.8461538461538463
ReidNicholas1935,"Reid, Bruce",LIBERAL,30,9,1998,1998,30.0
McBride1975,"McBride, Emma",ALP,328,9,2016,2022,2.7439024390243905
Dondas1939,"Dondas, Nick",CLP,44,9,1998,1998,20.454545454545453
Young1968,"Young, Terry",LNP,146,8,2019,2022,5.47945205479452
McFarlane1944,"McFarlane, Jann",ALP,276,8,1998,2004,2.898550724637681
Vasta1966,"Vasta, Ross",LIBERAL,387,8,2004,2018,2.0671834625322996
Holding1931,"Holding, Clyde",ALP,35,8,1998,1998,22.857142857142858
Thompson1988,"Thompson, Phillip",LNP,143,8,2020,2021,5.594405594405594
Landry1962,"Landry, Michelle",NATIONAL,361,7,2013,2018,1.9390581717451523
Bradford1946,"Bradford, John",IND,83,7,1998,1998,8.433734939759036
Dargavel1966,"Dargavel, Steve",ALP,12,7,1998,1998,58.333333333333336
Hastie1982,"Hastie, Andrew",LIBERAL,371,7,2015,2022,1.8867924528301887
OBrien1974,"O'Brien, Ted",LNP,197,7,2019,2022,3.553299492385787
Mulino1969,"Mulino, Daniel",ALP,127,7,2019,2022,5.511811023622047
Evans1981,"Evans, Trevor",LIBERAL,252,7,2016,2019,2.7777777777777777
